,T,P,flame speed (cm/s),phi,X
0,300.0,101325.0,0.14510687824784355,0.6,"{'butane(1)': 0.019015997585270148, 'O2(2)': 0.20600664050709325, 'N2': 0.7749773619076364}"
1,300.0,101325.0,0.16298963277017534,0.628,"{'butane(1)': 0.019885763916114286, 'O2(2)': 0.205823989577616, 'N2': 0.7742902465062697}"
2,300.0,101325.0,0.18639826399955212,0.6559999999999999,"{'butane(1)': 0.02075398929759437, 'O2(2)': 0.20564166224750519, 'N2': 0.7736043484549004}"
3,300.0,101325.0,0.20875741811442214,0.6839999999999999,"{'butane(1)': 0.021620677821194402, 'O2(2)': 0.20545965765754917, 'N2': 0.7729196645212564}"
4,300.0,101325.0,0.23412715952440857,0.712,"{'butane(1)': 0.02248583356392642, 'O2(2)': 0.20527797495157546, 'N2': 0.7722361914844982}"
5,300.0,101325.0,0.2574997697032978,0.74,"{'butane(1)': 0.023349460588394384, 'O2(2)': 0.20509661327643716, 'N2': 0.7715539261351684}"
6,300.0,101325.0,0.279150753772529,0.768,"{'butane(1)': 0.024211562942857832, 'O2(2)': 0.20491557178199987, 'N2': 0.7708728652751423}"
7,300.0,101325.0,0.2993869994089226,0.7959999999999999,"{'butane(1)': 0.02507214466129506, 'O2(2)': 0.20473484962112803, 'N2': 0.7701930057175769}"
8,300.0,101325.0,0.318157928160259,0.824,"{'butane(1)': 0.025931209763466127, 'O2(2)': 0.20455444594967212, 'N2': 0.7695143442868617}"
9,300.0,101325.0,0.33602799781224024,0.852,"{'butane(1)': 0.02678876225497536, 'O2(2)': 0.2043743599264552, 'N2': 0.7688368778185696}"
10,300.0,101325.0,0.3512552029900665,0.8799999999999999,"{'butane(1)': 0.02764480612733365, 'O2(2)': 0.20419459071325993, 'N2': 0.7681606031594064}"
11,300.0,101325.0,0.3647224611376097,0.9079999999999999,"{'butane(1)': 0.028499345358020407, 'O2(2)': 0.2040151374748157, 'N2': 0.7674855171671638}"
12,300.0,101325.0,0.37677534757557235,0.9359999999999999,"{'butane(1)': 0.029352383910545114, 'O2(2)': 0.20383599937878552, 'N2': 0.7668116167106693}"
13,300.0,101325.0,0.3836942742850195,0.964,"{'butane(1)': 0.030203925734508627, 'O2(2)': 0.2036571755957532, 'N2': 0.7661388986697383}"
14,300.0,101325.0,0.3914995591939189,0.992,"{'butane(1)': 0.03105397476566413, 'O2(2)': 0.20347866529921052, 'N2': 0.7654673599351253}"
15,300.0,101325.0,0.3967917156927263,1.02,"{'butane(1)': 0.031902534925977784, 'O2(2)': 0.2033004676655447, 'N2': 0.7647969974084776}"
16,300.0,101325.0,0.39961861414404337,1.048,"{'butane(1)': 0.032749610123689, 'O2(2)': 0.2031225818740253, 'N2': 0.7641278080022856}"
17,300.0,101325.0,0.40077751181707527,1.076,"{'butane(1)': 0.03359520425337053, 'O2(2)': 0.2029450071067922, 'N2': 0.7634597886398373}"
18,300.0,101325.0,0.3981551687395215,1.104,"{'butane(1)': 0.034439321195988026, 'O2(2)': 0.2027677425488425, 'N2': 0.7627929362551694}"
19,300.0,101325.0,0.39226038246348044,1.132,"{'butane(1)': 0.03528196481895953, 'O2(2)': 0.2025907873880185, 'N2': 0.762127247793022}"
20,300.0,101325.0,0.38281303897562646,1.16,"{'butane(1)': 0.03612313897621448, 'O2(2)': 0.20241414081499498, 'N2': 0.7614627202087906}"
21,300.0,101325.0,0.3715862837011044,1.188,"{'butane(1)': 0.03696284750825249, 'O2(2)': 0.20223780202326697, 'N2': 0.7607993504684806}"
22,300.0,101325.0,0.3558242164575172,1.2159999999999997,"{'butane(1)': 0.03780109424220174, 'O2(2)': 0.20206177020913763, 'N2': 0.7601371355486606}"
23,300.0,101325.0,0.33731350353941914,1.2439999999999998,"{'butane(1)': 0.038637882991877225, 'O2(2)': 0.20188604457170578, 'N2': 0.759476072436417}"
24,300.0,101325.0,0.31497862121203873,1.2719999999999998,"{'butane(1)': 0.03947321755783849, 'O2(2)': 0.20171062431285394, 'N2': 0.7588161581293076}"
25,300.0,101325.0,0.2913401637411152,1.2999999999999998,"{'butane(1)': 0.04030710172744721, 'O2(2)': 0.20153550863723607, 'N2': 0.7581573896353166}"
26,300.0,101325.0,0.2710244635332663,1.3279999999999998,"{'butane(1)': 0.041139539274924475, 'O2(2)': 0.20136069675226587, 'N2': 0.7574997639728097}"
27,300.0,101325.0,0.24545358254445787,1.3559999999999999,"{'butane(1)': 0.041970533961407624, 'O2(2)': 0.20118618786810438, 'N2': 0.7568432781704879}"
28,300.0,101325.0,0.22015790460413,1.384,"{'butane(1)': 0.04280008953500701, 'O2(2)': 0.20101198119764854, 'N2': 0.7561879292673445}"
29,300.0,101325.0,0.19268211966774987,1.412,"{'butane(1)': 0.04362820973086226, 'O2(2)': 0.20083807595651892, 'N2': 0.7555337143126187}"
30,300.0,101325.0,0.16755983835505991,1.44,"{'butane(1)': 0.044454898271198404, 'O2(2)': 0.20066447136304835, 'N2': 0.7548806303657533}"
31,300.0,101325.0,0.14900365816897027,1.468,"{'butane(1)': 0.04528015886538157, 'O2(2)': 0.20049116663826988, 'N2': 0.7542286744963487}"
32,300.0,101325.0,0.13571410996098812,1.496,"{'butane(1)': 0.046103995209974526, 'O2(2)': 0.20031816100590535, 'N2': 0.7535778437841201}"
33,300.0,101325.0,0.12005605598231502,1.524,"{'butane(1)': 0.046926410988791856, 'O2(2)': 0.2001454536923537, 'N2': 0.7529281353188544}"
34,300.0,101325.0,0.10748600610195942,1.552,"{'butane(1)': 0.04774740987295486, 'O2(2)': 0.19997304392667947, 'N2': 0.7522795462003656}"
35,300.0,101325.0,0.097510861907167,1.5799999999999998,"{'butane(1)': 0.04856699552094617, 'O2(2)': 0.1998009309406013, 'N2': 0.7516320735384526}"
36,300.0,101325.0,0.08800665589810303,1.608,"{'butane(1)': 0.049385171578664115, 'O2(2)': 0.19962911396848054, 'N2': 0.7509857144528553}"
37,300.0,101325.0,0.08020022117189611,1.6359999999999997,"{'butane(1)': 0.05020194167947676, 'O2(2)': 0.19945759224730988, 'N2': 0.7503404660732134}"
38,300.0,101325.0,0.07351259763193382,1.6639999999999997,"{'butane(1)': 0.051017309444275724, 'O2(2)': 0.19928636501670208, 'N2': 0.7496963255390221}"
39,300.0,101325.0,0.06761276142397903,1.6919999999999997,"{'butane(1)': 0.05183127848152967, 'O2(2)': 0.19911543151887878, 'N2': 0.7490532899995915}"
40,300.0,101325.0,0.06333282221541227,1.7199999999999998,"{'butane(1)': 0.052643852387337486, 'O2(2)': 0.1989447909986591, 'N2': 0.7484113566140034}"
41,300.0,101325.0,0.05907407491920603,1.7479999999999998,"{'butane(1)': 0.053455034745481335, 'O2(2)': 0.19877444270344893, 'N2': 0.7477705225510698}"
42,300.0,101325.0,0.05480206817151998,1.7759999999999998,"{'butane(1)': 0.054264829127479285, 'O2(2)': 0.19860438588322937, 'N2': 0.7471307849892914}"
43,300.0,101325.0,0.051179114878663653,1.8039999999999998,"{'butane(1)': 0.055073239092637706, 'O2(2)': 0.19843461979054608, 'N2': 0.7464921411168162}"
44,300.0,101325.0,0.04777874737124907,1.8319999999999999,"{'butane(1)': 0.05588026818810351, 'O2(2)': 0.19826514368049825, 'N2': 0.7458545881313982}"
45,300.0,101325.0,0.044592218590593084,1.8599999999999999,"{'butane(1)': 0.05668591994891591, 'O2(2)': 0.19809595681072767, 'N2': 0.7452181232403564}"
46,300.0,101325.0,0.041867164454754045,1.888,"{'butane(1)': 0.05749019789805814, 'O2(2)': 0.19792705844140782, 'N2': 0.7445827436605341}"
47,300.0,101325.0,0.03905374246844037,1.916,"{'butane(1)': 0.05829310554650873, 'O2(2)': 0.19775844783523316, 'N2': 0.7439484466182581}"
48,300.0,101325.0,0.036761494366891995,1.944,"{'butane(1)': 0.05909464639329265, 'O2(2)': 0.19759012425740854, 'N2': 0.7433152293492988}"
49,300.0,101325.0,0.03488010388986162,1.972,"{'butane(1)': 0.0598948239255321, 'O2(2)': 0.19742208697563826, 'N2': 0.7426830890988296}"
50,300.0,101325.0,0.03285743989765044,2.0,"{'butane(1)': 0.060693641618497114, 'O2(2)': 0.19725433526011563, 'N2': 0.7420520231213873}"
